Statistic,Age Group,Sex,Road User Type,UNIT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Killed Casualties,55 - 64 years,Female,Pedal cyclists,Number,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Killed Casualties,55 - 64 years,Female,Motor cyclists,Number,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Killed Casualties,55 - 64 years,Female,All Car users,Number,6,5,8,3,4,2,4,1,0,5,5,3,4,3,2,1,4,2,1
Killed Casualties,55 - 64 years,Female,Car drivers,Number,6,2,4,3,3,2,1,1,0,2,4,3,2,2,2,0,2,2,1
Killed Casualties,55 - 64 years,Female,Car passengers,Number,0,3,4,0,1,0,3,0,0,3,1,0,2,1,0,1,2,0,0
Killed Casualties,55 - 64 years,Female,Other road users,Number,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Killed Casualties,65 years and over,Male,All road users,Number,34,31,34,27,14,22,18,17,31,26,24,28,16,19,22,21,20,37,21
Killed Casualties,65 years and over,Male,Pedestrians,Number,12,14,16,6,3,6,9,9,5,7,4,5,5,10,3,5,5,13,8
Killed Casualties,65 years and over,Male,Pedal cyclists,Number,2,0,0,2,1,3,0,0,3,3,4,3,0,0,2,1,2,2,3
Killed Casualties,65 years and over,Male,Motor cyclists,Number,0,0,1,0,1,0,1,0,1,2,0,2,2,0,1,0,1,1,1
Killed Casualties,65 years and over,Male,All Car users,Number,19,13,14,13,8,13,7,7,22,13,15,17,7,8,14,11,12,17,8
Killed Casualties,65 years and over,Male,Car drivers,Number,15,13,13,12,8,12,6,5,16,10,13,16,6,7,13,10,12,14,7
Killed Casualties,65 years and over,Male,Car passengers,Number,4,0,1,1,0,1,1,2,6,3,2,1,1,1,1,1,0,3,1
Killed Casualties,65 years and over,Male,Other road users,Number,1,4,3,6,1,0,1,1,0,1,1,1,2,1,2,3,0,4,1
Killed Casualties,65 years and over,Female,All road users,Number,22,32,24,19,12,8,19,19,15,17,8,17,18,10,15,11,9,16,19
Killed Casualties,65 years and over,Female,Pedestrians,Number,8,15,16,6,7,4,6,5,7,9,2,8,3,5,3,3,1,9,9
Killed Casualties,65 years and over,Female,Pedal cyclists,Number,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1
Killed Casualties,65 years and over,Female,Motor cyclists,Number,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,65 years and over,Female,All Car users,Number,13,16,8,13,5,4,12,12,8,8,6,9,13,5,12,8,8,6,9
Killed Casualties,65 years and over,Female,Car drivers,Number,5,12,4,7,4,3,7,7,6,5,3,2,7,3,9,4,6,2,6
Killed Casualties,65 years and over,Female,Car passengers,Number,8,4,4,6,1,1,5,5,2,3,3,7,6,2,3,4,2,4,3
Killed Casualties,65 years and over,Female,Other road users,Number,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Male,All road users,Number,1,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Male,Pedestrians,Number,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Male,Pedal cyclists,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Male,Motor cyclists,Number,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Male,All Car users,Number,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Male,Car drivers,Number,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Male,Car passengers,Number,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Male,Other road users,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Female,All road users,Number,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Female,Pedestrians,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Female,Pedal cyclists,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Female,Motor cyclists,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,Age unknown,Female,All Car users,Number,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
