Statistic Label,Year,Seat Belt Usage,UNIT,VALUE
Users of Cars Injured in Collisions,2021,Front seat passengers: seat belt usage not stated,Number,2
Users of Cars Injured in Collisions,2021,All front seat passengers,Number,1069
Users of Cars Injured in Collisions,2022,Car drivers: seat belt in use,Number,2161
Users of Cars Injured in Collisions,2022,Car drivers: seat belt not in use,Number,56
Users of Cars Injured in Collisions,2022,Car drivers: seat belt usage unknown,Number,589
Users of Cars Injured in Collisions,2022,Car drivers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2022,All car drivers,Number,2806
Users of Cars Injured in Collisions,2022,Front seat passengers: seat belt in use,Number,1054
Users of Cars Injured in Collisions,2022,Front seat passengers: seat belt not in use,Number,49
Users of Cars Injured in Collisions,2022,Front seat passengers: seat belt usage unknown,Number,242
Users of Cars Injured in Collisions,2022,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2022,All front seat passengers,Number,1345
Users of Cars Injured in Collisions,2023,Car drivers: seat belt in use,Number,1896
